name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,like
Zimzalabim,0.0028,https://api.spotify.com/v1/audio-analysis/0GUbhhI5fRx7BlqlqlhjuB,0.68,190860,0.878,0GUbhhI5fRx7BlqlqlhjuB,2.22e-05,5,0.336,-4.791,0,0.179,127.991,4,https://api.spotify.com/v1/tracks/0GUbhhI5fRx7BlqlqlhjuB,audio_features,spotify:track:0GUbhhI5fRx7BlqlqlhjuB,0.531,0.0
Buy My Own Drinks,0.068,https://api.spotify.com/v1/audio-analysis/7IVTmZGRp264dILwTNXzjG,0.6859999999999999,206293,0.9,7IVTmZGRp264dILwTNXzjG,0.0,5,0.0985,-4.4060000000000015,1,0.0614,155.963,4,https://api.spotify.com/v1/tracks/7IVTmZGRp264dILwTNXzjG,audio_features,spotify:track:7IVTmZGRp264dILwTNXzjG,0.962,0.0
CROWN,0.0505,https://api.spotify.com/v1/audio-analysis/32h6yQGn4oAhZ0HRsTMX26,0.622,230707,0.8,32h6yQGn4oAhZ0HRsTMX26,0.0,5,0.0619,-5.819,1,0.0425,110.977,4,https://api.spotify.com/v1/tracks/32h6yQGn4oAhZ0HRsTMX26,audio_features,spotify:track:32h6yQGn4oAhZ0HRsTMX26,0.58,0.0
when the party's over,0.978,https://api.spotify.com/v1/audio-analysis/43zdsphuZLzwA9k4DJhU0I,0.3670000000000001,196077,0.111,43zdsphuZLzwA9k4DJhU0I,3.97e-05,4,0.0897,-14.084000000000001,1,0.0972,82.64200000000002,4,https://api.spotify.com/v1/tracks/43zdsphuZLzwA9k4DJhU0I,audio_features,spotify:track:43zdsphuZLzwA9k4DJhU0I,0.198,1.0
DDU-DU DDU-DU,0.0323,https://api.spotify.com/v1/audio-analysis/7b8YOVV5quZcSKEijDgyWB,0.671,209355,0.859,7b8YOVV5quZcSKEijDgyWB,0.0,4,0.267,-3.922,0,0.0833,139.931,4,https://api.spotify.com/v1/tracks/7b8YOVV5quZcSKEijDgyWB,audio_features,spotify:track:7b8YOVV5quZcSKEijDgyWB,0.389,0.0
Hard Place - Single Version,0.14300000000000002,https://api.spotify.com/v1/audio-analysis/56Rmib5mhCfiaSJqhLgEdW,0.611,210304,0.769,56Rmib5mhCfiaSJqhLgEdW,2.77e-05,9,0.314,-4.044,1,0.112,160.014,4,https://api.spotify.com/v1/tracks/56Rmib5mhCfiaSJqhLgEdW,audio_features,spotify:track:56Rmib5mhCfiaSJqhLgEdW,0.414,1.0
Liquor Store Blues (feat. Damian Marley),0.11,https://api.spotify.com/v1/audio-analysis/4KykoaJQ5UxjCpp3lYkvTE,0.691,229373,0.8240000000000001,4KykoaJQ5UxjCpp3lYkvTE,0.0,1,0.353,-3.925,0,0.0731,75.516,4,https://api.spotify.com/v1/tracks/4KykoaJQ5UxjCpp3lYkvTE,audio_features,spotify:track:4KykoaJQ5UxjCpp3lYkvTE,0.685,1.0
I'll Look Around,0.978,https://api.spotify.com/v1/audio-analysis/1s970ZUqAlPhNaIuCJlxm9,0.43700000000000006,195587,0.0984,1s970ZUqAlPhNaIuCJlxm9,0.000161,0,0.10300000000000001,-16.66,1,0.0353,69.999,4,https://api.spotify.com/v1/tracks/1s970ZUqAlPhNaIuCJlxm9,audio_features,spotify:track:1s970ZUqAlPhNaIuCJlxm9,0.297,0.0
Try Saying Goodbye,0.0117,https://api.spotify.com/v1/audio-analysis/6p3tET0bTKLDv4iF0hl0p2,0.4320000000000001,181630,0.77,6p3tET0bTKLDv4iF0hl0p2,0.0,5,0.0849,-7.0760000000000005,1,0.0331,93.858,4,https://api.spotify.com/v1/tracks/6p3tET0bTKLDv4iF0hl0p2,audio_features,spotify:track:6p3tET0bTKLDv4iF0hl0p2,0.335,0.0
Damn,0.285,https://api.spotify.com/v1/audio-analysis/3eYWytXuX5jFZpbLVnE4es,0.758,181982,0.597,3eYWytXuX5jFZpbLVnE4es,0.0,0,0.155,-5.564,1,0.0309,87.749,4,https://api.spotify.com/v1/tracks/3eYWytXuX5jFZpbLVnE4es,audio_features,spotify:track:3eYWytXuX5jFZpbLVnE4es,0.679,1.0
The Latest Plague,4.03e-05,https://api.spotify.com/v1/audio-analysis/1e1EbFngIbc9HGzK8BK32L,0.35700000000000004,199080,0.98,1e1EbFngIbc9HGzK8BK32L,8.92e-05,8,0.15,-4.007,1,0.14,180.387,4,https://api.spotify.com/v1/tracks/1e1EbFngIbc9HGzK8BK32L,audio_features,spotify:track:1e1EbFngIbc9HGzK8BK32L,0.275,0.0
All That I've Got,0.00289,https://api.spotify.com/v1/audio-analysis/6IxQ0PdozaZKch1m8tGCwb,0.335,230427,0.858,6IxQ0PdozaZKch1m8tGCwb,0.0,7,0.14800000000000002,-4.565,1,0.0532,177.981,4,https://api.spotify.com/v1/tracks/6IxQ0PdozaZKch1m8tGCwb,audio_features,spotify:track:6IxQ0PdozaZKch1m8tGCwb,0.451,0.0
Love Song (Sara Bareilles cover),0.0285,https://api.spotify.com/v1/audio-analysis/2WJ4yZCEom1RWaY3ZWa38O,0.35200000000000004,183853,0.944,2WJ4yZCEom1RWaY3ZWa38O,0.0,5,0.35,-3.689,1,0.234,170.113,4,https://api.spotify.com/v1/tracks/2WJ4yZCEom1RWaY3ZWa38O,audio_features,spotify:track:2WJ4yZCEom1RWaY3ZWa38O,0.513,0.0
KILLING ME,0.465,https://api.spotify.com/v1/audio-analysis/27kB4qLUCV8nZd2eOgj1Tk,0.76,193734,0.672,27kB4qLUCV8nZd2eOgj1Tk,0.0,9,0.205,-5.277,0,0.0732,127.986,4,https://api.spotify.com/v1/tracks/27kB4qLUCV8nZd2eOgj1Tk,audio_features,spotify:track:27kB4qLUCV8nZd2eOgj1Tk,0.505,0.0
Señorita,0.037000000000000005,https://api.spotify.com/v1/audio-analysis/0TK2YIli7K1leLovkQiNik,0.759,190960,0.54,0TK2YIli7K1leLovkQiNik,0.0,9,0.0945,-6.039,0,0.0287,116.947,4,https://api.spotify.com/v1/tracks/0TK2YIli7K1leLovkQiNik,audio_features,spotify:track:0TK2YIli7K1leLovkQiNik,0.75,1.0
If I Killed Your Night,0.11,https://api.spotify.com/v1/audio-analysis/0KMgyziANzULHoUX1eKWg4,0.8,179202,0.361,0KMgyziANzULHoUX1eKWg4,0.0,4,0.23,-8.275,1,0.101,115.075,3,https://api.spotify.com/v1/tracks/0KMgyziANzULHoUX1eKWg4,audio_features,spotify:track:0KMgyziANzULHoUX1eKWg4,0.7859999999999999,1.0
Homemade,0.51,https://api.spotify.com/v1/audio-analysis/0V98mMRcKnYw2UIAA6e9uq,0.511,212166,0.58,0V98mMRcKnYw2UIAA6e9uq,0.0,4,0.136,-7.772,1,0.231,199.884,4,https://api.spotify.com/v1/tracks/0V98mMRcKnYw2UIAA6e9uq,audio_features,spotify:track:0V98mMRcKnYw2UIAA6e9uq,0.475,1.0
Don’t Need Your Love,0.0632,https://api.spotify.com/v1/audio-analysis/7oEm5Q1virEUB9H0XjWZzF,0.619,201880,0.881,7oEm5Q1virEUB9H0XjWZzF,0.0,7,0.103,-4.683,1,0.0834,160.145,3,https://api.spotify.com/v1/tracks/7oEm5Q1virEUB9H0XjWZzF,audio_features,spotify:track:7oEm5Q1virEUB9H0XjWZzF,0.769,0.0
The Danger In Starting a Fire,0.000534,https://api.spotify.com/v1/audio-analysis/2i5BhTOcsnH6jfBspDNuLM,0.318,182640,0.91,2i5BhTOcsnH6jfBspDNuLM,1.99e-06,0,0.297,-3.962,1,0.0773,92.374,4,https://api.spotify.com/v1/tracks/2i5BhTOcsnH6jfBspDNuLM,audio_features,spotify:track:2i5BhTOcsnH6jfBspDNuLM,0.365,0.0
Famous,0.398,https://api.spotify.com/v1/audio-analysis/6HBhMdKR4HRfQ3fuGUFbzE,0.736,186450,0.423,6HBhMdKR4HRfQ3fuGUFbzE,0.0,7,0.108,-6.934,1,0.0428,94.919,4,https://api.spotify.com/v1/tracks/6HBhMdKR4HRfQ3fuGUFbzE,audio_features,spotify:track:6HBhMdKR4HRfQ3fuGUFbzE,0.34600000000000003,0.0
YES or YES,0.0514,https://api.spotify.com/v1/audio-analysis/1S6zXoXhfalX2ETKo337Md,0.702,237685,0.913,1S6zXoXhfalX2ETKo337Md,3.71e-06,11,0.166,-2.977,1,0.0374,137.982,4,https://api.spotify.com/v1/tracks/1S6zXoXhfalX2ETKo337Md,audio_features,spotify:track:1S6zXoXhfalX2ETKo337Md,0.735,0.0
Cool Again,0.443,https://api.spotify.com/v1/audio-analysis/7tDqtZnEQcgAE92mEMtgnF,0.774,191935,0.45,7tDqtZnEQcgAE92mEMtgnF,3.28e-05,11,0.127,-6.86,1,0.0896,90.055,4,https://api.spotify.com/v1/tracks/7tDqtZnEQcgAE92mEMtgnF,audio_features,spotify:track:7tDqtZnEQcgAE92mEMtgnF,0.648,1.0
Nightshade,0.958,https://api.spotify.com/v1/audio-analysis/5oo6NoLXLL2cT2PZSacAnB,0.7040000000000001,180880,0.31,5oo6NoLXLL2cT2PZSacAnB,0.000226,10,0.0693,-9.142999999999999,0,0.0348,113.23299999999999,4,https://api.spotify.com/v1/tracks/5oo6NoLXLL2cT2PZSacAnB,audio_features,spotify:track:5oo6NoLXLL2cT2PZSacAnB,0.408,1.0
As You're Falling Down,0.00626,https://api.spotify.com/v1/audio-analysis/7oBUDXJCjog9OwLapymv86,0.5,204733,0.938,7oBUDXJCjog9OwLapymv86,0.0,0,0.13699999999999998,-3.867,0,0.0713,111.02,4,https://api.spotify.com/v1/tracks/7oBUDXJCjog9OwLapymv86,audio_features,spotify:track:7oBUDXJCjog9OwLapymv86,0.433,0.0
Bonfire,0.0594,https://api.spotify.com/v1/audio-analysis/799f6Ih1Pu4AUApMyXhxUc,0.506,192947,0.745,799f6Ih1Pu4AUApMyXhxUc,0.0,8,0.341,-6.044,1,0.331,161.808,4,https://api.spotify.com/v1/tracks/799f6Ih1Pu4AUApMyXhxUc,audio_features,spotify:track:799f6Ih1Pu4AUApMyXhxUc,0.311,1.0
Anything but Yellow,0.494,https://api.spotify.com/v1/audio-analysis/7HDpJlJj7OSJKsKXjllJeV,0.682,180000,0.728,7HDpJlJj7OSJKsKXjllJeV,3.96e-06,5,0.0514,-6.0360000000000005,1,0.0411,129.942,4,https://api.spotify.com/v1/tracks/7HDpJlJj7OSJKsKXjllJeV,audio_features,spotify:track:7HDpJlJj7OSJKsKXjllJeV,0.4970000000000001,0.0
Cash Out,0.152,https://api.spotify.com/v1/audio-analysis/0Ws8D3EWUDgY962Xftb0h5,0.722,235973,0.79,0Ws8D3EWUDgY962Xftb0h5,0.0,4,0.0349,-4.867,0,0.24100000000000002,94.965,4,https://api.spotify.com/v1/tracks/0Ws8D3EWUDgY962Xftb0h5,audio_features,spotify:track:0Ws8D3EWUDgY962Xftb0h5,0.434,1.0
